name,spec,quantity
베어링,6309ZZ3CE,10
베어링,6309ZZCM,6
베어링,6308ZZCM,5
베어링,6308ZZC3E,4
베어링,6313ZZC3E,3
베어링,6311ZZC3E,3
베어링,6310ZZC3E,2
베어링,6313ZZC3,5
베어링,6205ZZCM,9
베어링,6204ZZCM,8
베어링,6213ZZC3,2
베어링,6212ZZC3,2
베어링,6205ZZC3E,1
베어링,6304ZZC3E,2
베어링,6202ZZC3,2
베어링,6202ZZCM,5
베어링,6207ZZCM,8
베어링,6205ZZC3E,4
베어링,6305ZZCM,3
베어링,6208ZZC3,14
베어링,6206ZZC3E,11
베어링,6306ZZCM,3
베어링,6306ZZCM,1
베어링,6209ZZCM,10
베어링,6203ZZCM,7
베어링,6004ZZCM,6
베어링,6303ZZC3E,2
베어링,6204ZZCM,5
베어링,6303ZZCM,2
베어링,6311ZZCM,10
베어링,6311ZZC3E,3
베어링,6313ZZC3E,1
베어링,6312ZZCM,4
베어링,6313C3E,4
베어링,6312CM,2
베어링,6311ZZC3,2
베어링,6314C3E,6
베어링,6314CM,7
베어링,NJ2317W,4
베어링,6318ZZC3E,7
베어링,6318ZZC3,1
베어링,NJ2317WC3,4
베어링,6312ZZC3E,5
베어링,6215ZZC3E,8
베어링,6315ZZC3E,1
베어링,NV324-E-XL-C3E,1
베어링,6328-M-C3,2
베어링,6326-M-C3,6
베어링,6312CM,2
베어링,6314ZZC3E,1
베어링,6316C3E,4
베어링,6316ZZC3,1
베어링,6318ZZC3,1
PILOT LAMP,"녹색, DC 125V",39
PILOT LAMP,"황색, DC 125V",40
PILOT LAMP,"적색, DC 125V",65
PILOT LAMP,"황색, AC 110V",10
PILOT LAMP,"적색, AC 220V",6
PUSH BUTTON SWITCH,"황색, AC 110V",20
PUSH BUTTON SWITCH,"적색, AC 110V",10
PUSH BUTTON SWITCH,"녹색, AC 110V",10
ROTARY SWITCH,AC 110V (30Ø),5
FUSE HOLDER,KF - 30L,40
밸브 위치표시기(LIMIT S.W),APL-410N,1
밸브 위치표시기(LIMIT S.W),APL-510N,1
밸브 위치표시기(LIMIT S.W),L-100-320,1
밸브 위치표시기(LIMIT S.W),GLB-11,1
밸브 위치표시기(LIMIT S.W),VPX1E4ABYB1A2B,4
